scan,zone,x_mm,y_mm,z_mm,deviation_mm
scan_000,GRAT_XXX,-53.978,-25.436,-15.930,3.134
scan_000,GRAT_XXX,-35.898,-31.553,-7.553,1.437
scan_000,GRAT_XXX,-53.897,-23.452,-16.137,3.397
scan_000,GRAT_XXX,-53.695,-21.854,-17.025,3.440
scan_000,GRAT_XXX,-51.284,-19.732,-18.065,1.644
scan_000,GRAT_XXX,-67.549,6.451,-24.855,1.335
scan_000,GRAT_XXX,-39.152,-27.549,-9.924,2.401
scan_000,GRAT_XXX,-51.183,-27.043,-16.276,1.797
scan_000,GRAT_XXX,-55.396,-33.329,-11.973,1.848
scan_000,GRAT_XXX,-60.506,-9.466,-21.586,1.988
scan_000,GRAT_XXX,-54.360,-28.528,-15.005,2.127
scan_000,GRAT_XXX,-54.056,-27.480,-15.762,2.209
scan_000,GRAT_XXX,-39.235,14.241,-14.783,1.370
scan_000,GRAT_XXX,-26.392,15.944,-8.133,1.390
scan_000,GRAT_XXX,-36.826,30.091,-14.479,1.241
scan_000,GRAT_XXX,-37.550,22.302,-12.961,1.452
scan_000,GRAT_XXX,-27.626,-26.593,6.671,2.725
scan_000,GRAT_XXX,-50.425,18.293,-19.127,1.232
scan_000,GRAT_XXX,-35.260,19.891,-14.132,1.913
scan_000,GRAT_XXX,-63.869,4.492,-23.556,1.473
scan_000,GRAT_XXX,-50.231,24.340,-19.701,1.260
scan_000,GRAT_XXX,-50.097,26.278,-19.891,1.562
scan_000,GRAT_XXX,-50.019,28.026,-19.483,1.383
scan_000,GRAT_XXX,-71.900,-3.166,-22.159,1.435
scan_000,GRAT_XXX,-54.368,-32.574,-12.814,1.605
scan_000,GRAT_XXX,-53.437,-32.546,-13.123,1.425
scan_000,GRAT_XXX,-53.065,-31.446,-13.784,1.460
scan_000,GRAT_XXX,-53.325,-29.955,-14.120,1.949
scan_000,GRAT_XXX,-52.207,-27.658,-15.870,1.997
scan_000,GRAT_XXX,-51.980,-23.555,-16.049,3.428
scan_000,GRAT_XXX,-37.375,-25.486,-8.652,2.094
scan_000,GRAT_XXX,-51.744,-13.313,-16.706,2.814
scan_000,GRAT_XXX,-51.514,-11.594,-16.651,2.982
scan_000,GRAT_XXX,-52.453,-7.438,-15.857,1.460
scan_000,GRAT_XXX,-46.352,-21.594,-13.764,3.267
scan_000,OOO,-33.713,-35.666,-7.067,0.827
scan_000,GRAT_XXX,-53.742,-15.385,-16.521,3.150
scan_000,GRAT_XXX,-53.218,4.624,-17.078,1.803
scan_000,GRAT_XXX,-25.270,-24.738,7.081,1.872
scan_000,GRAT_XXX,-51.495,5.039,-16.513,1.746
scan_000,GRAT_XXX,-26.503,26.267,-8.648,1.491
scan_000,GRAT_XXX,-54.682,-31.056,-13.297,2.053
